*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Tool Lockout v1.3
*Date=19:27:48
*CreatedBy=Fritzing 0.8.3b.07.27.048f
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;[THT];53.2795;-36.543;0;Bottom;Reset
2;;;43.7134;-27.3254;0;Bottom;Copper Fill70
3;;;22.7245;-26.0929;0;Bottom;Via17
4;5V;TO220 [THT];36.0595;-1.70894;180;Bottom;+5Vreg
5;;;9.23723;-27.349;0;Bottom;IMG5
6;100pF;100 mil [THT, multilayer];10.0245;-2.59794;90;Bottom;C7
7;;;35.1111;-28.7255;0;Bottom;TXT16
8;;;57.8358;-6.4466;0;Bottom;Copper Fill10
9;;THT;29.7095;-28.6329;90;Bottom;EN_Rst
10;;;23.9649;-38.9078;0;Bottom;Copper Fill81
11;;;16.1036;-32.4943;0;Bottom;Copper Fill16
12;;;32.7548;-12.0634;0;Bottom;TXT12
13;;;26.924;-14.0539;0;Bottom;Copper Fill43
14;;;36.0045;-6.8022;0;Bottom;Copper Fill114
15;;;2.9845;-1.2904;0;Bottom;Copper Fill87
16;;;35.6108;-21.6739;0;Bottom;Copper Fill22
17;;;5.0546;-17.8639;0;Bottom;Copper Fill49
18;;;10.9474;-3.9447;0;Bottom;Copper Fill120
19;;;36.3474;-33.7643;0;Bottom;Copper Fill27
20;;;23.3045;-6.8022;0;Bottom;Copper Fill93
21;;;43.7642;-3.2843;0;Bottom;Copper Fill55
22;;;8.7757;-19.045;0;Bottom;Copper Fill33
23;;;48.1244;-28.6329;0;Bottom;Via4
24;;;51.0032;-38.8443;0;Bottom;Copper Fill99
25;;;11.0998;-20.0102;0;Bottom;Copper Fill61
26;;;34.1545;-36.8879;0;Bottom;Via20
27;10µF;100 mil [THT, multilayer];34.7895;-5.77294;0;Bottom;C3
28;;;43.253;-38.1711;-90;Bottom;TXT10
29;;;49.9745;-37.8156;0;Bottom;Copper Fill39
30;;;5.0546;-38.1839;0;Bottom;Copper Fill105
31;0.1µF;100 mil [THT, multilayer];62.0945;-28.6329;180;Bottom;C5
32;;;34.5186;-32.5324;0;Bottom;Copper Fill66
33;47µF;100 mil [THT, electrolytic];13.8345;-3.23294;90;Bottom;C8
34;;;11.7094;-2.9922;0;Bottom;Copper Fill76
35;10µF;100 mil [THT, multilayer];40.5045;-15.2979;-1.27222e-14;Bottom;C4
36;;;25.9349;-12.0349;0;Bottom;TXT1
37;;;63.847;-8.64035;90;Bottom;TXT1
38;;;32.8676;-14.8794;0;Bottom;Copper Fill9
39;;;16.1036;-32.4943;0;Bottom;Copper Fill80
40;;;14.0208;-32.4943;0;Bottom;Copper Fill15
41;;;64.0334;-13.4443;0;Bottom;Copper Fill42
42;;;7.4549;-4.9226;0;Bottom;Copper Fill113
43;;;25.3456;-8.23172;0;Bottom;TXT1
44;;;2.9845;-5.6338;0;Bottom;Copper Fill86
45;;;36.6649;-20.6706;0;Bottom;Copper Fill21
46;;;6.1849;-16.7844;0;Bottom;Copper Fill48
47;;;8.9916;-7.2467;0;Bottom;Copper Fill119
48;;;61.5324;-13.2712;0;Bottom;TXT5
49;;;0.9652;-3.2843;0;Bottom;Copper Fill26
50;;;30.9245;-7.2848;0;Bottom;Copper Fill92
51;1M;THT;45.267;-33.7129;180;Bottom;R2
52;;;54.959;-31.4515;90;Bottom;TXT1
53;;;17.0095;-24.1879;0;Bottom;Via1
54;;;7.4549;-4.9226;0;Bottom;Copper Fill54
55;;;41.7449;-14.3714;0;Bottom;Copper Fill32
56;;;49.9745;-37.8156;0;Bottom;Copper Fill98
57;;;20.8195;-27.9979;0;Bottom;Via16
58;10µF;100 mil [THT, multilayer];44.9495;-29.2679;0;Bottom;C1
59;;;63.4238;-36.9139;0;Bottom;Copper Fill60
60;0.1µF;100 mil [THT, multilayer];7.48453;-2.59794;90;Bottom;C6
61;;;49.9745;-39.5428;0;Bottom;Copper Fill38
